Cliente,Grupo económico,Ventas Netas (USD),Provincia,Localidad,Cód. Postal de entrega,Direccion completa,Latitud,Longitud
BSM TRANSPORTES SRL,BSM TRANSPORTES SRL,17500.37,CORDOBA,FERREYRA,5020,"5020, FERREYRA, CORDOBA, Argentina",-31.464754,-64.1100069
CROSSLOG S.A,CROSSLOG S.A,17233.12,CAPITAL FEDERAL,CAPITAL FEDERAL,1049,"1049, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.600859,-58.3717046
PERFORACIONES SANTACRUCEÑAS S.R.L.,PERFORACIONES SANTACRUCEÑAS S.R.L.,17009.92,SANTA CRUZ,PUERTO SAN JUAN,9310,"9310, PUERTO SAN JUAN, SANTA CRUZ, Argentina",,
"PIZZOLON PIETRO S.A., .","PIZZOLON PIETRO S.A., .",16914.73,MENDOZA,MENDOZA,5500,"5500, MENDOZA, MENDOZA, Argentina",-32.885768,-68.8532187
"GOMEZ, ALEJANDRO MARIO",GRUPO FURLONG,16715.48,BUENOS AIRES,GARIN,1619,"1619, GARIN, BUENOS AIRES, Argentina",-34.4228847,-58.7380711
TRANSPORTES GARGIULO MARIO S.R.L.,TRANSPORTES GARGIULO MARIO S.R.L.,16609.57,BUENOS AIRES,GENERAL RODRIGUEZ,1748,"1748, GENERAL RODRIGUEZ, BUENOS AIRES, Argentina",-34.6027866,-58.4529961
DASBURG S.A,DASBURG S.A,16266.04,BUENOS AIRES,EXALTACION DE LA CRUZ,2812,"2812, EXALTACION DE LA CRUZ, BUENOS AIRES, Argentina",-34.3186115,-59.099532
JOSE J CHEDIACK SAICA,JOSE J CHEDIACK SAICA,16038.05,CAPITAL FEDERAL,CAPITAL FEDERAL,1049,"1049, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.600859,-58.3717046
MUNICIPALIDAD DE SAN FERNANDO,MUNICIPALIDAD DE SAN FERNANDO,15449.06,BUENOS AIRES,SAN FERNANDO,1646,"1646, SAN FERNANDO, BUENOS AIRES, Argentina",-34.4458708,-58.5609231
"ZARATE ASISTENCIA S.R.L, .","ZARATE ASISTENCIA S.R.L, .",15423.17,BUENOS AIRES,ZARATE,2800,"2800, ZARATE, BUENOS AIRES, Argentina",-34.1107363,-59.02423
FLEET S.A.,FLEET S.A.,15403.92,CAPITAL FEDERAL,CAPITAL FEDERAL,1425,"1425, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.5862237,-58.4148077
COMPAÑIA TSB S A,COMPAÑIA TSB S A,15168.24,BUENOS AIRES,CIUDAD AUTONOMA BUENOS AIRES,1053,"1053, CIUDAD AUTONOMA BUENOS AIRES, BUENOS AIRES, Argentina",-34.600085,-58.3764065
FRATHI S.R.L.,FRATHI S.R.L.,15118.0,CAPITAL FEDERAL,CAPITAL FEDERAL,1339,"1339, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
SUDAMERICANA LOGISTICA Y DISTRIBUCION S.R.L.,SUDAMERICANA LOGISTICA Y DISTRIBUCION S.R.L.,15078.69,CAPITAL FEDERAL,CAPITAL FEDERAL,1431,"1431, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.5750596,-58.483225
AVELLI AUTOMOTORES S.A.,AVELLI AUTOMOTORES S.A.,14363.92,MISIONES,POSADAS,3300,"3300, POSADAS, MISIONES, Argentina",-27.4562691,-55.8533952
"MONTE ROJO S.A., .","MONTE ROJO S.A., .",14278.83,BUENOS AIRES,TANDIL,7000,"7000, TANDIL, BUENOS AIRES, Argentina",-34.6645688,-58.505459
